book_id,isbn,isbn13,language_code,ratings_count,text_reviews_count
1,439785960,9780439785969,eng,2095690,27591
2,439358078,9780439358071,eng,2153167,29221
4,439554896,9780439554893,eng,6333,244
5,043965548X,9780439655484,eng,2339585,36325
8,439682584,9780439682589,eng,41428,164
9,976540606,9780976540601,en-US,19,1
10,439827604,9780439827607,eng,28242,808
12,517226952,9780517226957,eng,3628,254
13,345453743,9780345453747,eng,249558,4080
14,1400052920,9781400052929,eng,4930,460
16,739322206,9780739322208,eng,1266,253
18,517149257,9780517149256,eng,2877,195
21,076790818X,9780767908184,eng,248558,9396
22,767915062,9780767915069,eng,7270,499
23,767910435,9780767910439,eng,2088,131
24,767903862,9780767903868,eng,72451,4245
25,076790382X,9780767903820,eng,49240,2211
26,60920084,9780060920081,eng,45712,2257
27,380713802,9780380713806,eng,48701,2238
28,380727501,9780380727506,eng,80609,3301
29,380715430,9780380715435,eng,28489,2085
30,345538374,9780345538376,eng,101233,1550
31,618517650,9780618517657,eng,1710,91
34,618346252,9780618346257,eng,2128944,13670
35,618260587,9780618260584,en-US,1618,140
36,618391002,9780618391004,eng,19822,46
37,618510826,9780618510825,eng,359,6
45,097669400X,9780976694007,eng,1430,59
50,689840926,9780689840920,eng,270244,12017
51,1557344493,9781557344496,eng,36,2
53,385326505,9780385326506,eng,2067,334
54,1575606240,9781575606248,eng,6,0
55,1595580271,9781595580276,en-US,99,16
57,1595962808,9781595962805,eng,167,4
58,670059676,9780670059676,eng,978,111
59,141312629,9780141312620,eng,4454,302
61,595321801,9780595321803,eng,1176,96
63,1590301943,9781590301944,eng,301,43
66,449146979,9780449146972,eng,345,12
67,61159174,9780061159176,eng,29686,2626
68,006076273X,9780060762735,en-US,55,12
69,60749911,9780060749910,eng,22,3
71,273704745,9780273704744,eng,1456,82
72,1932386106,9781932386103,eng,52,4
74,374517193,9780374517199,eng,562,37
75,374280398,9780374280390,en-US,1630,203
76,374519749,9780374519742,eng,268,22
77,374522596,9780374522599,en-US,3498,305
78,374518734,9780374518738,eng,3115,228
79,374522871,9780374522872,eng,5704,261
80,374519323,9780374519322,fre,698,52
81,374516006,9780374516000,eng,542,36
83,374520658,9780374520656,eng,1341,98
85,822205106,9780822205104,eng,1423,70
86,679734996,9780679734994,eng,2766,64
89,1596670231,9781596670235,eng,31,1
90,1581807740,9781581807745,en-US,62,4
91,800793617,9780800793616,eng,860,53
92,871202867,9780871202864,en-US,77,2
93,753454947,9780753454947,eng,153317,2257
94,871209993,9780871209993,eng,55,5
96,1852402873,9781852402877,eng,34,6
98,761129588,9780761129585,eng,11797,659
99,972016414,9780972016414,eng,34,8
100,1581805632,9781581805635,en-US,78,4
103,441294677,9780441294671,eng,2785,166
105,441102670,9780441102679,eng,38778,568
106,441172695,9780441172696,eng,97494,2359
107,765306476,9780765306470,en-US,784,21
109,399128980,9780399128981,eng,272,20
110,765353709,9780765353702,eng,4789,83
117,441328008,9780441328000,eng,45388,644
119,618212906,9780618212903,eng,26153,102
122,034541005X,9780345410054,eng,69167,4551
123,385732546,9780385732543,eng,45,13
129,785260056,9780785260059,en-US,16,1
130,471780936,9780471780939,eng,174,16
131,325001537,9780325001531,eng,10,0
132,006076287X,9780060762872,eng,76,9
133,470045299,9780470045299,eng,111,9
135,72262788,9780072262780,eng,24,0
137,764569244,9780764569241,eng,55,4
